Date,^FCHI
2017-03-01,120246400
2017-03-02,106837200
2017-03-03,105338700
2017-03-06,90426900
2017-03-07,79830000
2017-03-08,82332500
2017-03-09,114473500
2017-03-10,103802900
2017-03-13,84024800
2017-03-14,91792700
2017-03-15,81890200
2017-03-16,113121800
2017-03-17,160166500
2017-03-20,64225900
2017-03-21,93549600
2017-03-22,99409000
2017-03-23,89305600
2017-03-24,68967900
2017-03-27,94079200
2017-03-28,85350200
2017-03-29,86407300
2017-03-30,73882900
2017-03-31,103369500
2017-04-03,81634900
2017-04-04,84044500
2017-04-05,84135600
2017-04-06,88623600
2017-04-07,84781300
2017-04-10,70156500
2017-04-11,93608500
2017-04-12,100135100
2017-04-13,97291600
2017-04-18,140164900
2017-04-19,112517100
2017-04-20,134681300
2017-04-21,165386200
2017-04-24,228792800
2017-04-25,115584900
2017-04-26,120017900
2017-04-27,113942900
2017-04-28,122645300
2017-05-02,104617800
2017-05-03,97848100
2017-05-04,152534000
2017-05-05,138533800
2017-05-08,116136600
2017-05-09,103174700
2017-05-10,100058200
2017-05-11,124960400
2017-05-12,158409000
2017-05-15,97533000
2017-05-16,95519900
2017-05-17,118949500
2017-05-18,124719100
2017-05-19,108705400
2017-05-22,73526700
2017-05-23,85536300
2017-05-24,79667800
2017-05-25,66254500
2017-05-26,76926600
2017-05-29,43001700
2017-05-30,78126400
2017-05-31,143676300
2017-06-01,84194600
2017-06-02,95624300
2017-06-05,48932000
2017-06-06,79880200
2017-06-07,94213100
2017-06-08,85052500
2017-06-09,79889400
2017-06-12,85538800
2017-06-13,72390200
2017-06-14,97019900
2017-06-15,118313500
2017-06-16,164098100
2017-06-19,77527800
2017-06-20,81245800
2017-06-21,83179900
2017-06-22,80688900
2017-06-23,66693700
2017-06-26,67071900
2017-06-27,90277800
2017-06-28,96381000
2017-06-29,114605600
2017-06-30,97126700
2017-07-03,76373400
2017-07-04,56279100
2017-07-05,85258200
2017-07-06,91164900
2017-07-07,74708800
2017-07-10,60989800
2017-07-11,64875700
2017-07-12,83513800
2017-07-13,75719800
2017-07-14,60089700
2017-07-17,53978000
2017-07-18,75790200
2017-07-19,69296400
2017-07-20,78772300
2017-07-21,106403800
2017-07-24,0
2017-07-25,91159700
2017-07-26,79110400
2017-07-27,99460800
2017-07-28,99859600
2017-07-31,87612000
2017-08-01,75327900
2017-08-02,82005400
2017-08-03,71167300
2017-08-04,78567600
2017-08-07,63788300
2017-08-08,62058600
2017-08-09,84579800
2017-08-10,71793700
2017-08-11,86172400
2017-08-14,57283400
2017-08-15,48077600
2017-08-16,55940500
2017-08-17,64545000
2017-08-18,73461700
2017-08-21,59101700
2017-08-22,57269900
2017-08-23,58660400
2017-08-24,55558700
2017-08-25,57203600
2017-08-28,37172200
2017-08-29,83662800
2017-08-30,61690100
2017-08-31,108192000
2017-09-01,75774600
2017-09-04,44171300
2017-09-05,72150200
2017-09-06,173147800
2017-09-07,84862300
2017-09-08,84096300
2017-09-11,76915100
2017-09-12,79355100
2017-09-13,86353100
2017-09-14,79396000
2017-09-15,259691200
2017-09-18,61537100
2017-09-19,66921900
2017-09-20,65750000
2017-09-21,84829300
2017-09-22,71447900
2017-09-25,64221800
2017-09-26,70839200
2017-09-27,74049900
2017-09-28,67809900
2017-09-29,85230900
2017-10-02,68575600
2017-10-03,58748500
2017-10-04,80019900
2017-10-05,70314300
2017-10-06,66128500
2017-10-09,55296900
2017-10-10,59718000
2017-10-11,71441700
2017-10-12,56447100
2017-10-13,73942000
2017-10-16,63076900
2017-10-17,64933200
2017-10-18,64165900
2017-10-19,86686600
2017-10-20,92307000
2017-10-23,63702000
2017-10-24,74560600
2017-10-25,80466800
2017-10-26,90950700
2017-10-27,95585200
2017-10-30,67428800
2017-10-31,75164700
2017-11-01,75303700
2017-11-02,70253200
2017-11-03,75125000
2017-11-06,70213800
2017-11-07,78339100
2017-11-08,92596200
2017-11-09,98897900
2017-11-10,84901400
2017-11-13,84572600
2017-11-14,90263700
2017-11-15,94175400
2017-11-16,74296300
2017-11-17,88650100
2017-11-20,66757000
2017-11-21,74777300
2017-11-22,67526600
2017-11-23,55368500
2017-11-24,54357200
2017-11-27,62120700
2017-11-28,65960000
2017-11-29,92621500
2017-11-30,128032500
2017-12-01,99908800
2017-12-04,81907500
2017-12-05,77844600
2017-12-06,78019500
2017-12-07,81173900
2017-12-08,90629200
2017-12-11,68771400
2017-12-12,80840200
2017-12-13,87609600
2017-12-14,78206300
2017-12-15,157439000
2017-12-18,81891400
2017-12-19,63736200
2017-12-20,68688100
2017-12-21,70387200
2017-12-22,46753800
2017-12-27,41098800
2017-12-28,42420600
2017-12-29,46218500
2018-01-02,66802600
2018-01-03,75371700
2018-01-04,92583500
2018-01-05,76275800
2018-01-08,72318000
2018-01-09,78844900
2018-01-10,96478300
2018-01-11,83544400
2018-01-12,80659900
2018-01-15,56215000
2018-01-16,69422000
2018-01-17,72741600
2018-01-18,82084500
2018-01-19,78466200
2018-01-22,77421200
2018-01-23,85807600
2018-01-24,85219400
2018-01-25,84803300
2018-01-26,65388300
2018-01-29,60112400
2018-01-30,80083100
2018-01-31,83562500
2018-02-01,87026200
2018-02-02,99312300
2018-02-05,96711900
2018-02-06,175358700
2018-02-07,117755000
2018-02-08,123977500
2018-02-09,143039900
2018-02-12,93467100
2018-02-13,78507900
2018-02-14,109723700
2018-02-15,97295500
2018-02-16,101183700
2018-02-19,51447900
2018-02-20,75702000
2018-02-21,72945400
2018-02-22,87528200
2018-02-23,68488500
2018-02-26,67882600
2018-02-27,76239100
2018-02-28,84387800
2018-03-01,112757700
2018-03-02,117629800
2018-03-05,120940100
2018-03-06,90489200
2018-03-07,93450600
2018-03-08,92799400
2018-03-09,75500400
2018-03-12,64074300
2018-03-13,87014000
2018-03-14,73618000
2018-03-15,82441300
2018-03-16,150258600
2018-03-19,76919000
2018-03-20,66443200
2018-03-21,69220400
2018-03-22,104323700
2018-03-23,102365000
2018-03-26,83600900
2018-03-27,84280000
2018-03-28,102195900
2018-03-29,92382200
2018-04-03,81857300
2018-04-04,91113200
2018-04-05,94689000
2018-04-06,68854400
2018-04-09,60670000
2018-04-10,78090500
2018-04-11,68231500
2018-04-12,82203700
2018-04-13,68375700
2018-04-16,60319200
2018-04-17,81726700
2018-04-18,82529900
2018-04-19,74094100
2018-04-20,87342700
2018-04-23,65848500
2018-04-24,90205000
2018-04-25,78056400
2018-04-26,83179000
2018-04-27,71130200
2018-04-30,73369100
2018-05-02,93979100
2018-05-03,79259400
2018-05-04,85333000
2018-05-07,45591900
2018-05-08,70214400
2018-05-09,72894200
2018-05-10,48972800
2018-05-11,61288900
2018-05-14,59725700
2018-05-15,88419600
2018-05-16,76258900
2018-05-17,80318200
2018-05-18,115184600
2018-05-21,49392900
2018-05-22,82627400
2018-05-23,100736000
2018-05-24,85231200
2018-05-25,87810500
2018-05-28,58701500
2018-05-29,141981600
2018-05-30,116950900
2018-05-31,144487200
2018-06-01,99399200
2018-06-04,79269000
2018-06-05,84084300
2018-06-06,88256900
2018-06-07,80269600
2018-06-08,79611800
2018-06-11,87500400
2018-06-12,78558400
2018-06-13,82724700
2018-06-14,99909400
2018-06-15,189560900
2018-06-18,84643700
2018-06-19,87760800
2018-06-20,83444100
2018-06-21,92471200
2018-06-22,74045400
2018-06-25,61986900
2018-06-26,66678000
2018-06-27,91539300
2018-06-28,91384400
2018-06-29,96281300
2018-07-02,84519600
2018-07-03,79762300
2018-07-04,63961500
2018-07-05,95493300
2018-07-06,72631100
2018-07-09,68001100
2018-07-10,73970700
2018-07-11,87179200
2018-07-12,77442500
2018-07-13,66789800
2018-07-16,56645300
2018-07-17,63232400
2018-07-18,72157000
2018-07-19,73346300
2018-07-20,93503600
2018-07-23,58933900
2018-07-24,96565100
2018-07-25,81395300
2018-07-26,98897800
2018-07-27,104519100
2018-07-30,68998200
2018-07-31,97712800
2018-08-01,81015200
2018-08-02,95127100
2018-08-03,72256600
2018-08-06,61262700
2018-08-07,65874000
2018-08-08,57616100
2018-08-09,55242100
2018-08-10,103117500
2018-08-13,66875100
2018-08-14,68465700
2018-08-15,87832500
2018-08-16,64762100
2018-08-17,64188500
2018-08-20,48284100
2018-08-21,56477500
2018-08-22,71435300
2018-08-23,52041400
2018-08-24,52056700
2018-08-27,43768100
2018-08-28,62817700
2018-08-29,52978800
2018-08-30,64286100
2018-08-31,89131200
2018-09-03,48627400
2018-09-04,79249300
2018-09-05,103548700
2018-09-06,79501100
2018-09-07,83620300
2018-09-10,71394000
2018-09-11,74742700
2018-09-12,75458800
2018-09-13,75754300
2018-09-14,66793100
2018-09-17,66172300
2018-09-18,80228500
2018-09-19,85324800
2018-09-20,108602600
2018-09-21,222510800
2018-09-24,73646100
2018-09-25,74313200
2018-09-26,77971500
2018-09-27,74700600
2018-09-28,112190100
2018-10-01,75188000
2018-10-02,83460200
2018-10-03,65565700
2018-10-04,94188600
2018-10-05,84127700
2018-10-08,69434100
2018-10-09,78857600
2018-10-10,104816300
2018-10-11,141209700
2018-10-12,98283100
2018-10-15,79093900
2018-10-16,88042700
2018-10-17,90604000
2018-10-18,99240000
2018-10-19,130238900
2018-10-22,74610400
2018-10-23,114932000
2018-10-24,116382700
2018-10-25,125445400
2018-10-26,131619600
2018-10-29,83255000
2018-10-30,96430500
2018-10-31,130251200
2018-11-01,86117000
2018-11-02,94431400
2018-11-05,68302600
2018-11-06,67159700
2018-11-07,88816200
2018-11-08,87240200
2018-11-09,84712400
2018-11-12,77068100
2018-11-13,78747800
2018-11-14,88350000
2018-11-15,99859900
2018-11-16,99615100
2018-11-19,75776800
2018-11-20,97368100
2018-11-21,82217400
2018-11-22,60539000
2018-11-23,61973700
2018-11-26,94237200
2018-11-27,85316600
2018-11-28,84265900
2018-11-29,82130300
2018-11-30,107965900
2018-12-03,101898900
2018-12-04,84238000
2018-12-05,78499500
2018-12-06,140516600
2018-12-07,95511500
2018-12-10,108458800
2018-12-11,101943600
2018-12-12,106795300
2018-12-13,88192400
2018-12-14,89679200
2018-12-17,83817900
2018-12-18,109281600
2018-12-19,96198400
2018-12-20,120847000
2018-12-21,187129800
2018-12-24,24595900
2018-12-27,89451800
2018-12-28,67583000
2018-12-31,23249900
2019-01-02,76980400
2019-01-03,78741500
2019-01-04,95967400
2019-01-07,73900700
2019-01-08,98114900
2019-01-09,94180800
2019-01-10,76138500
2019-01-11,77037500
2019-01-14,69500100
2019-01-15,83421600
2019-01-16,81097500
2019-01-17,82674400
2019-01-18,106129400
2019-01-21,49416900
2019-01-22,67998400
2019-01-23,78599700
2019-01-24,82884500
2019-01-25,82965000
2019-01-28,64841000
2019-01-29,66407300
2019-01-30,68861600
2019-01-31,102641200
2019-02-01,79792300
2019-02-04,70664200
2019-02-05,87212600
2019-02-06,85303500
2019-02-07,111261700
2019-02-08,100191000
2019-02-11,70045200
2019-02-12,81414900
2019-02-13,84733400
2019-02-14,90012000
2019-02-15,110465200
2019-02-18,60816200
2019-02-19,67491900
2019-02-20,74722600
2019-02-21,95156300
2019-02-22,75215100
2019-02-25,72266600
2019-02-26,74612300
2019-02-27,86877000
2019-02-28,110811900
2019-03-01,88315600
