Date,AC.PA,ACA.PA,AI.PA,AIR.PA,ATO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,EN.PA,ENGI.PA,FP.PA,FR.PA,FTI.PA,GLE.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STM.PA,SU.PA,SW.PA,UG.PA,URW.AS,VIE.PA,VIV.PA
2017-03-01,1199037.0,10557384.0,955394.0,2496301.0,387363.0,1734390.0,5436640.0,2348727.0,873156.0,10396196.0,1798012.0,292030.0,,1015567.0,7716717.0,5696676.0,1045058.0,1423037.0,6332074.0,274466.0,620870.0,715213.0,449706.0,8433288.0,721117.0,6019119.0,616097.0,444710.0,48458.0,1078135.0,1246162.0,2802589.0,1961186.0,1809268.0,1680806.0,203439.0,3548465.0,282554.0,4942020.0,5373299.0
2017-03-02,770058.0,6341372.0,762287.0,1590954.0,429122.0,1303529.0,3819429.0,2079580.0,900437.0,5914732.0,1124566.0,311258.0,,935773.0,21785627.0,4023715.0,717988.0,1434108.0,4449405.0,157718.0,444143.0,443630.0,511673.0,6544209.0,693973.0,6331941.0,471404.0,368738.0,33260.0,674418.0,1073370.0,1822381.0,1836368.0,2163916.0,908383.0,176544.0,2338921.0,301491.0,4564094.0,4412323.0
2017-03-03,802780.0,9666703.0,750347.0,1968675.0,250019.0,1373990.0,4950723.0,2201912.0,610236.0,7917729.0,1340932.0,174165.0,,594692.0,13058479.0,4596460.0,514322.0,1084780.0,6663331.0,145174.0,517049.0,396855.0,382124.0,6123503.0,543852.0,6715324.0,951415.0,269803.0,19591.0,730972.0,1020084.0,2269713.0,1270070.0,1719653.0,1138493.0,215270.0,4111033.0,237103.0,3632658.0,4436754.0
2017-03-06,738309.0,4942388.0,774938.0,1926655.0,167856.0,1189860.0,2809388.0,2049080.0,425751.0,5731129.0,974492.0,190139.0,,570949.0,7463209.0,4541783.0,438944.0,1397348.0,3590820.0,163577.0,365983.0,448186.0,365051.0,6311609.0,542579.0,5277870.0,901199.0,266583.0,19245.0,525371.0,696917.0,2357686.0,1235204.0,1444901.0,734073.0,137717.0,11559210.0,199036.0,2447292.0,3371642.0
2017-03-07,955195.0,3582112.0,710434.0,1942419.0,289102.0,1576451.0,2755034.0,1996486.0,481371.0,5215830.0,943153.0,172706.0,,541536.0,7689370.0,4975946.0,726472.0,1152400.0,2497201.0,148377.0,447426.0,361154.0,411801.0,4752061.0,524289.0,5838383.0,680700.0,380855.0,22839.0,482474.0,732438.0,2516723.0,982985.0,2498779.0,1110018.0,144439.0,4842591.0,250965.0,3190512.0,4606236.0
2017-03-08,892223.0,6106315.0,522727.0,1262311.0,185253.0,1527970.0,3422590.0,2176247.0,458984.0,5617626.0,1180720.0,252613.0,,509288.0,8046191.0,4751017.0,544938.0,1372967.0,3883875.0,206001.0,413598.0,427709.0,364458.0,4813031.0,609714.0,4567407.0,526097.0,205361.0,36928.0,536746.0,674414.0,2524880.0,1179184.0,1937134.0,900422.0,141391.0,3426033.0,323797.0,3910485.0,4452374.0
2017-03-09,1306355.0,7858155.0,744103.0,1559193.0,325132.0,1411898.0,5616477.0,9116806.0,555840.0,6873146.0,971943.0,152465.0,,719448.0,7534699.0,8455345.0,732407.0,2193082.0,4324418.0,249815.0,512959.0,539640.0,520043.0,8313161.0,715477.0,6431180.0,592363.0,400353.0,27029.0,637361.0,774983.0,2239055.0,1367700.0,4728432.0,1331828.0,100584.0,4068602.0,289446.0,2649374.0,6574586.0
2017-03-10,979516.0,11980530.0,639808.0,1299185.0,451567.0,1516310.0,6413094.0,4924355.0,492998.0,6740682.0,1099892.0,226607.0,,646144.0,7418832.0,6358792.0,684166.0,1575527.0,5702563.0,142522.0,379391.0,469193.0,480198.0,6293110.0,643934.0,6571792.0,548694.0,353765.0,32501.0,581936.0,751317.0,1804521.0,1309762.0,2293001.0,1547303.0,282212.0,3750286.0,372630.0,2089079.0,3810611.0
2017-03-13,655649.0,5559260.0,686483.0,942671.0,227687.0,1177591.0,3102950.0,3447635.0,534056.0,4554705.0,880761.0,215321.0,,1874844.0,4774361.0,4547846.0,600090.0,1275971.0,2995818.0,373941.0,502025.0,477391.0,560592.0,7242086.0,455479.0,7929317.0,1576751.0,256256.0,21146.0,539024.0,534131.0,1541018.0,894383.0,3885809.0,1084814.0,131217.0,2471602.0,223367.0,1326141.0,3066150.0
2017-03-14,576840.0,4854655.0,716553.0,1031487.0,279518.0,930123.0,4114290.0,2918671.0,517191.0,5892489.0,888545.0,276195.0,,643856.0,10765189.0,7032065.0,1018554.0,1431685.0,3414377.0,182440.0,483766.0,438132.0,526397.0,7628202.0,481090.0,4962007.0,973792.0,296178.0,22982.0,732181.0,807821.0,1733056.0,1229330.0,1648719.0,1141325.0,148182.0,2772195.0,258461.0,2280046.0,2832919.0
