Date;Air Liquide
2017-03-01;82.0
2017-03-02;75.0
2017-03-03;81.0
2017-03-06;70.0
2017-03-07;69.0
2017-03-08;75.0
2017-03-09;85.0
2017-03-10;58.0
2017-03-13;71.0
2017-03-14;68.0
2017-03-15;67.0
2017-03-16;67.0
2017-03-17;73.0
2017-03-20;65.0
2017-03-21;70.0
2017-03-22;71.0
2017-03-23;73.0
2017-03-24;74.0
2017-03-27;87.0
2017-03-28;68.0
2017-03-29;69.0
2017-03-30;73.0
2017-03-31;54.0
2017-04-03;56.0
2017-04-04;68.0
2017-04-05;77.0
2017-04-06;56.0
2017-04-07;68.0
2017-04-10;88.0
2017-04-11;77.0
2017-04-12;69.0
2017-04-13;65.0
2017-04-18;71.0
2017-04-19;67.0
2017-04-20;74.0
2017-04-21;65.0
2017-04-24;93.0
2017-04-25;79.0
2017-04-26;73.0
2017-04-27;70.0
2017-04-28;71.0
2017-05-02;77.0
2017-05-03;92.0
2017-05-04;87.0
2017-05-05;67.0
2017-05-08;76.0
2017-05-09;81.0
2017-05-10;69.0
2017-05-11;88.0
2017-05-12;77.0
2017-05-15;93.0
2017-05-16;100.0
2017-05-17;78.0
2017-05-18;79.0
2017-05-19;67.0
2017-05-22;48.0
2017-05-23;82.0
2017-05-24;73.0
2017-05-25;45.0
2017-05-26;58.0
2017-05-29;58.0
2017-05-30;64.0
2017-05-31;86.48648648648648
2017-06-01;61.40540540540541
2017-06-02;68.32432432432432
2017-06-05;54.48648648648649
2017-06-06;65.72972972972974
2017-06-07;75.24324324324324
2017-06-08;64.0
2017-06-09;66.5945945945946
2017-06-12;66.5945945945946
2017-06-13;74.37837837837839
2017-06-14;61.40540540540541
2017-06-15;65.72972972972974
2017-06-16;57.94594594594595
2017-06-19;67.45945945945947
2017-06-20;69.1891891891892
2017-06-21;57.08108108108108
2017-06-22;62.270270270270274
2017-06-23;53.62162162162163
2017-06-26;60.54054054054055
2017-06-27;56.21621621621622
2017-06-28;56.21621621621622
2017-06-29;60.54054054054055
2017-06-30;50.16216216216216
2017-07-03;62.270270270270274
2017-07-04;54.48648648648649
2017-07-05;56.21621621621622
2017-07-06;56.21621621621622
2017-07-07;51.891891891891895
2017-07-10;58.810810810810814
2017-07-11;57.08108108108108
2017-07-12;61.40540540540541
2017-07-13;59.67567567567568
2017-07-14;43.24324324324324
2017-07-17;57.08108108108108
2017-07-18;75.24324324324324
2017-07-19;68.32432432432432
2017-07-20;64.0
2017-07-21;52.75675675675676
2017-07-24;74.37837837837839
2017-07-25;64.0
2017-07-26;67.45945945945947
2017-07-27;68.32432432432432
2017-07-28;65.72972972972974
2017-07-31;68.32432432432432
2017-08-01;61.40540540540541
2017-08-02;57.94594594594595
2017-08-03;57.94594594594595
2017-08-04;52.75675675675676
2017-08-07;55.351351351351354
2017-08-08;56.21621621621622
2017-08-09;67.45945945945947
2017-08-10;66.5945945945946
2017-08-11;60.54054054054055
2017-08-14;48.432432432432435
2017-08-15;42.37837837837838
2017-08-16;53.62162162162163
2017-08-17;48.432432432432435
2017-08-18;61.40540540540541
2017-08-21;75.24324324324324
2017-08-22;53.62162162162163
2017-08-23;66.5945945945946
2017-08-24;54.48648648648649
2017-08-25;46.70270270270271
2017-08-28;70.05405405405406
2017-08-29;83.1891891891892
2017-08-30;64.5810810810811
2017-08-31;70.05405405405406
2017-09-01;59.10810810810811
2017-09-04;48.16216216216217
2017-09-05;75.52702702702703
2017-09-06;59.10810810810811
2017-09-07;103.9864864864865
2017-09-08;62.3918918918919
2017-09-11;81.00000000000001
2017-09-12;85.37837837837839
2017-09-13;75.52702702702703
2017-09-14;77.71621621621622
2017-09-15;63.4864864864865
2017-09-18;82.09459459459461
2017-09-19;79.90540540540542
2017-09-20;71.14864864864866
2017-09-21;77.71621621621622
2017-09-22;67.86486486486487
2017-09-25;82.09459459459461
2017-09-26;76.62162162162163
2017-09-27;79.90540540540542
2017-09-28;73.33783783783785
2017-09-29;68.95945945945947
2017-10-02;88.66216216216218
2017-10-03;109.45945945945948
2017-10-04;103.9864864864865
2017-10-05;87.56756756756758
2017-10-06;84.28378378378379
2017-10-09;91.94594594594597
2017-10-10;97.41891891891893
2017-10-11;72.24324324324326
2017-10-12;96.32432432432434
2017-10-13;65.67567567567568
2017-10-16;89.75675675675677
2017-10-17;64.5810810810811
2017-10-18;81.00000000000001
