Date;Carrefour
2017-03-01;51.0
2017-03-02;50.0
2017-03-03;52.0
2017-03-06;50.0
2017-03-07;48.0
2017-03-08;45.0
2017-03-09;47.0
2017-03-10;50.0
2017-03-13;50.0
2017-03-14;46.0
2017-03-15;47.0
2017-03-16;46.0
2017-03-17;47.0
2017-03-20;47.0
2017-03-21;48.0
2017-03-22;48.0
2017-03-23;45.0
2017-03-24;52.0
2017-03-27;51.0
2017-03-28;47.0
2017-03-29;48.0
2017-03-30;48.0
2017-03-31;51.0
2017-04-03;51.0
2017-04-04;48.0
2017-04-05;48.0
2017-04-06;50.0
2017-04-07;53.0
2017-04-10;57.0
2017-04-11;53.0
2017-04-12;54.0
2017-04-13;57.0
2017-04-18;51.0
2017-04-19;46.0
2017-04-20;50.0
2017-04-21;51.0
2017-04-24;51.0
2017-04-25;50.0
2017-04-26;51.0
2017-04-27;50.0
2017-04-28;51.0
2017-05-02;55.0
2017-05-03;53.0
2017-05-04;52.0
2017-05-05;55.0
2017-05-08;74.0
2017-05-09;51.0
2017-05-10;52.0
2017-05-11;50.0
2017-05-12;51.0
2017-05-15;54.0
2017-05-16;51.0
2017-05-17;54.0
2017-05-18;50.0
2017-05-19;52.0
2017-05-22;52.0
2017-05-23;50.0
2017-05-24;58.0
2017-05-25;84.0
2017-05-26;57.0
2017-05-29;60.0
2017-05-30;56.0
2017-05-31;56.875
2017-06-01;59.5
2017-06-02;62.125
2017-06-05;87.5
2017-06-06;55.125
2017-06-07;53.375
2017-06-08;54.25
2017-06-09;55.125
2017-06-12;60.375
2017-06-13;56.0
2017-06-14;56.875
2017-06-15;56.0
2017-06-16;56.875
2017-06-19;61.25
2017-06-20;62.125
2017-06-21;58.625
2017-06-22;57.75
2017-06-23;61.25
2017-06-26;62.125
2017-06-27;54.25
2017-06-28;58.625
2017-06-29;56.875
2017-06-30;57.75
2017-07-03;60.375
2017-07-04;56.875
2017-07-05;56.875
2017-07-06;58.625
2017-07-07;58.625
2017-07-10;58.625
2017-07-11;56.0
2017-07-12;56.875
2017-07-13;59.5
2017-07-14;82.25
2017-07-17;56.0
2017-07-18;54.25
2017-07-19;54.25
2017-07-20;52.5
2017-07-21;54.25
2017-07-24;56.875
