Date;Total
2017-03-01;97.0
2017-03-02;100.0
2017-03-03;90.0
2017-03-06;94.0
2017-03-07;95.0
2017-03-08;97.0
2017-03-09;94.0
2017-03-10;90.0
2017-03-13;95.0
2017-03-14;99.0
2017-03-15;99.0
2017-03-16;95.0
2017-03-17;87.0
2017-03-20;93.0
2017-03-21;93.0
2017-03-22;93.0
2017-03-23;93.0
2017-03-24;90.0
2017-03-27;94.0
2017-03-28;94.0
2017-03-29;93.0
2017-03-30;93.0
2017-03-31;95.0
2017-04-03;95.0
2017-04-04;94.0
2017-04-05;96.0
2017-04-06;99.0
2017-04-07;90.0
2017-04-10;92.0
2017-04-11;94.0
2017-04-12;95.0
2017-04-13;91.0
2017-04-18;94.0
2017-04-19;92.0
2017-04-20;93.0
2017-04-21;86.0
2017-04-24;95.0
2017-04-25;95.0
2017-04-26;96.0
2017-04-27;95.0
2017-04-28;90.0
2017-05-02;99.0
2017-05-03;98.0
2017-05-04;99.0
2017-05-05;90.0
2017-05-08;94.0
2017-05-09;93.0
2017-05-10;95.0
2017-05-11;94.0
2017-05-12;90.0
2017-05-15;91.0
2017-05-16;93.0
2017-05-17;94.0
2017-05-18;87.0
2017-05-19;85.0
2017-05-22;90.0
2017-05-23;88.0
2017-05-24;89.0
2017-05-25;84.0
2017-05-26;85.0
2017-05-29;85.0
2017-05-30;93.0
2017-05-31;93.0
2017-06-01;87.1875
2017-06-02;93.0
2017-06-05;93.0
2017-06-06;93.0
2017-06-07;93.0
2017-06-08;87.1875
2017-06-09;93.0
2017-06-12;93.0
2017-06-13;87.1875
2017-06-14;87.1875
2017-06-15;87.1875
2017-06-16;87.1875
2017-06-19;93.0
2017-06-20;87.1875
2017-06-21;93.0
2017-06-22;93.0
2017-06-23;93.0
2017-06-26;98.8125
2017-06-27;98.8125
2017-06-28;98.8125
2017-06-29;93.0
2017-06-30;87.1875
2017-07-03;87.1875
2017-07-04;93.0
2017-07-05;93.0
2017-07-06;93.0
2017-07-07;93.0
2017-07-10;93.0
2017-07-11;93.0
2017-07-12;93.0
2017-07-13;93.0
2017-07-14;93.0
2017-07-17;93.0
2017-07-18;93.0
2017-07-19;93.0
2017-07-20;93.0
2017-07-21;93.0
2017-07-24;87.1875
2017-07-25;98.8125
2017-07-26;93.0
2017-07-27;98.8125
2017-07-28;93.0
2017-07-31;93.0
2017-08-01;104.625
2017-08-02;104.625
2017-08-03;98.8125
2017-08-04;93.0
2017-08-07;98.8125
2017-08-08;104.625
2017-08-09;104.625
2017-08-10;98.8125
2017-08-11;104.625
2017-08-14;110.4375
2017-08-15;116.25
2017-08-16;122.0625
2017-08-17;139.5
2017-08-18;145.3125
2017-08-21;581.25
2017-08-22;186.0
2017-08-23;116.25
2017-08-24;98.8125
2017-08-25;93.0
2017-08-28;98.8125
2017-08-29;96.71010638297872
2017-08-30;97.76130319148936
2017-08-31;92.50531914893617
2017-09-01;93.5565159574468
2017-09-04;93.5565159574468
2017-09-05;92.50531914893617
2017-09-06;93.5565159574468
2017-09-07;97.76130319148936
2017-09-08;90.40292553191489
2017-09-11;93.5565159574468
2017-09-12;95.65890957446808
2017-09-13;98.8125
2017-09-14;95.65890957446808
2017-09-15;92.50531914893617
2017-09-18;95.65890957446808
2017-09-19;97.76130319148936
2017-09-20;99.86369680851064
2017-09-21;94.60771276595744
2017-09-22;92.50531914893617
2017-09-25;98.8125
2017-09-26;99.86369680851064
2017-09-27;105.11968085106382
2017-09-28;104.06848404255318
2017-09-29;95.65890957446808
2017-10-02;104.06848404255318
2017-10-03;105.11968085106382
2017-10-04;99.86369680851064
2017-10-05;103.01728723404254
2017-10-06;98.8125
2017-10-09;97.76130319148936
2017-10-10;98.8125
2017-10-11;98.8125
2017-10-12;100.91489361702128
2017-10-13;96.71010638297872
2017-10-16;96.71010638297872
2017-10-17;97.76130319148936
2017-10-18;98.8125
2017-10-19;95.65890957446808
2017-10-20;96.71010638297872
2017-10-23;96.71010638297872
2017-10-24;101.9660904255319
2017-10-25;98.8125
2017-10-26;98.8125
2017-10-27;94.60771276595744
2017-10-30;97.76130319148936
2017-10-31;99.86369680851064
2017-11-01;97.76130319148936
2017-11-02;98.8125
2017-11-03;92.50531914893617
2017-11-06;98.8125
2017-11-07;98.8125
2017-11-08;99.86369680851064
2017-11-09;99.86369680851064
2017-11-10;92.50531914893617
2017-11-13;98.8125
2017-11-14;104.06848404255318
2017-11-15;97.76130319148936
2017-11-16;98.8125
2017-11-17;97.76130319148936
2017-11-20;95.65890957446808
2017-11-21;97.76130319148936
2017-11-22;96.71010638297872
2017-11-23;95.65890957446808
2017-11-24;85.1469414893617
2017-11-27;103.29301098709452
2017-11-28;110.27226848622252
2017-11-29;107.48056548657132
2017-11-30;103.29301098709452
2017-12-01;100.50130798744331
2017-12-04;100.50130798744331
2017-12-05;103.29301098709452
2017-12-06;100.50130798744331
2017-12-07;100.50130798744331
2017-12-08;93.5220504883153
2017-12-11;97.7096049877921
2017-12-12;100.50130798744331
2017-12-13;103.29301098709452
2017-12-14;100.50130798744331
2017-12-15;92.1261989884897
2017-12-18;97.7096049877921
2017-12-19;96.31375348796651
2017-12-20;96.31375348796651
2017-12-21;93.5220504883153
2017-12-22;94.9179019881409
2017-12-27;90.7303474886641
2017-12-28;92.1261989884897
2017-12-29;85.1469414893617
2018-01-02;93.5220504883153
2018-01-03;94.9179019881409
2018-01-04;97.7096049877921
2018-01-05;99.10545648761772
2018-01-08;92.1261989884897
2018-01-09;96.31375348796651
2018-01-10;100.50130798744331
2018-01-11;100.50130798744331
2018-01-12;96.31375348796651
2018-01-15;94.9179019881409
2018-01-16;96.31375348796651
2018-01-17;96.31375348796651
2018-01-18;100.50130798744331
2018-01-19;96.31375348796651
2018-01-22;99.10545648761772
2018-01-23;103.29301098709452
2018-01-24;101.89715948726891
2018-01-25;101.89715948726891
2018-01-26;97.7096049877921
2018-01-29;104.68886248692012
2018-01-30;117.25152598535053
2018-01-31;139.58514998256015
2018-02-01;107.48056548657132
2018-02-02;100.50130798744331
2018-02-05;101.89715948726891
2018-02-06;104.68886248692012
2018-02-07;100.50130798744331
2018-02-08;101.89715948726891
2018-02-09;96.31375348796651
2018-02-12;97.7096049877921
2018-02-13;101.89715948726891
2018-02-14;100.50130798744331
2018-02-15;103.29301098709452
2018-02-16;99.10545648761772
2018-02-19;99.10545648761772
2018-02-20;101.89715948726891
2018-02-21;100.50130798744331
2018-02-22;104.68886248692012
2018-02-23;97.7096049877921
2018-02-26;101.932950551367
2018-02-27;101.932950551367
2018-02-28;105.36889270478386
2018-03-01;99.6423224490891
2018-03-02;95.06106624453327
2018-03-05;104.2235786536449
2018-03-06;107.65952080706177
2018-03-07;105.36889270478386
2018-03-08;103.07826460250595
2018-03-09;98.49700839795013
