Date;Valeo
2017-03-01;83.0
2017-03-02;91.0
2017-03-03;85.0
2017-03-06;91.0
2017-03-07;98.0
2017-03-08;98.0
2017-03-09;99.0
2017-03-10;88.0
2017-03-13;99.0
2017-03-14;95.0
2017-03-15;95.0
2017-03-16;80.0
2017-03-17;85.0
2017-03-20;100.0
2017-03-21;87.0
2017-03-22;82.0
2017-03-23;79.0
2017-03-24;89.0
2017-03-27;92.0
2017-03-28;95.0
2017-03-29;80.0
2017-03-30;98.0
2017-03-31;82.0
2017-04-03;89.0
2017-04-04;90.0
2017-04-05;85.0
2017-04-06;83.0
2017-04-07;78.0
2017-04-10;91.0
2017-04-11;77.0
2017-04-12;88.0
2017-04-13;87.0
2017-04-18;88.0
2017-04-19;92.0
2017-04-20;79.0
2017-04-21;78.0
2017-04-24;92.0
2017-04-25;84.0
2017-04-26;88.0
2017-04-27;93.0
2017-04-28;88.0
2017-05-02;89.0
2017-05-03;92.0
2017-05-04;93.0
2017-05-05;91.0
2017-05-08;99.0
2017-05-09;87.0
2017-05-10;94.0
2017-05-11;86.0
2017-05-12;78.0
2017-05-15;82.0
2017-05-16;75.0
2017-05-17;78.0
2017-05-18;84.0
2017-05-19;79.0
2017-05-22;88.0
2017-05-23;99.0
2017-05-24;79.0
2017-05-25;66.0
2017-05-26;73.0
2017-05-29;79.0
2017-05-30;90.0
2017-05-31;92.11764705882354
2017-06-01;83.6470588235294
2017-06-02;80.47058823529412
2017-06-05;72.0
2017-06-06;98.47058823529412
2017-06-07;86.82352941176471
2017-06-08;83.6470588235294
2017-06-09;78.3529411764706
2017-06-12;98.47058823529412
2017-06-13;94.23529411764706
2017-06-14;102.70588235294117
2017-06-15;85.76470588235294
2017-06-16;72.0
2017-06-19;96.3529411764706
2017-06-20;86.82352941176471
2017-06-21;83.6470588235294
2017-06-22;86.82352941176471
2017-06-23;76.23529411764706
2017-06-26;91.05882352941177
2017-06-27;91.05882352941177
2017-06-28;91.05882352941177
2017-06-29;105.88235294117648
2017-06-30;78.3529411764706
2017-07-03;86.82352941176471
2017-07-04;92.11764705882354
2017-07-05;90.0
2017-07-06;88.94117647058823
2017-07-07;86.82352941176471
2017-07-10;101.64705882352942
2017-07-11;96.3529411764706
2017-07-12;94.23529411764706
2017-07-13;95.29411764705883
2017-07-14;86.82352941176471
2017-07-17;95.29411764705883
2017-07-18;94.23529411764706
2017-07-19;87.88235294117648
2017-07-20;88.94117647058823
2017-07-21;100.58823529411765
2017-07-24;102.70588235294117
2017-07-25;81.52941176470588
2017-07-26;97.41176470588235
2017-07-27;99.52941176470588
2017-07-28;84.70588235294117
2017-07-31;88.94117647058823
2017-08-01;83.6470588235294
2017-08-02;74.11764705882354
2017-08-03;83.6470588235294
2017-08-04;80.47058823529412
2017-08-07;86.82352941176471
2017-08-08;82.58823529411765
2017-08-09;80.47058823529412
2017-08-10;78.3529411764706
2017-08-11;72.0
2017-08-14;65.6470588235294
2017-08-15;63.529411764705884
2017-08-16;85.76470588235294
2017-08-17;88.94117647058823
2017-08-18;69.88235294117648
2017-08-21;87.88235294117648
2017-08-22;79.41176470588235
2017-08-23;92.11764705882354
2017-08-24;74.11764705882354
2017-08-25;77.29411764705883
2017-08-28;84.70588235294117
2017-08-29;94.73684210526315
2017-08-30;98.08049535603715
2017-08-31;82.47678018575851
2017-09-01;70.21671826625386
2017-09-04;81.36222910216718
2017-09-05;96.96594427244582
2017-09-06;86.93498452012383
2017-09-07;102.53869969040248
2017-09-08;82.47678018575851
2017-09-11;106.9969040247678
2017-09-12;93.62229102167183
2017-09-13;98.08049535603715
2017-09-14;78.0185758513932
2017-09-15;76.90402476780186
2017-09-18;86.93498452012383
2017-09-19;99.19504643962848
2017-09-20;89.16408668730651
2017-09-21;99.19504643962848
2017-09-22;100.30959752321981
2017-09-25;99.19504643962848
2017-09-26;91.39318885448917
2017-09-27;88.04953560371517
2017-09-28;80.24767801857585
2017-09-29;75.78947368421052
2017-10-02;84.70588235294117
2017-10-03;88.04953560371517
2017-10-04;95.85139318885449
2017-10-05;95.85139318885449
2017-10-06;84.70588235294117
2017-10-09;96.96594427244582
2017-10-10;99.19504643962848
2017-10-11;91.39318885448917
2017-10-12;71.3312693498452
2017-10-13;82.47678018575851
2017-10-16;90.27863777089783
2017-10-17;93.62229102167183
2017-10-18;83.59133126934985
2017-10-19;96.96594427244582
2017-10-20;79.13312693498452
2017-10-23;94.73684210526315
2017-10-24;110.3405572755418
2017-10-25;95.85139318885449
2017-10-26;86.93498452012383
2017-10-27;84.70588235294117
2017-10-30;89.16408668730651
2017-10-31;95.85139318885449
2017-11-01;73.56037151702786
2017-11-02;88.04953560371517
2017-11-03;91.39318885448917
2017-11-06;95.85139318885449
2017-11-07;99.19504643962848
2017-11-08;111.45510835913312
2017-11-09;86.93498452012383
2017-11-10;90.27863777089783
2017-11-13;99.19504643962848
2017-11-14;98.08049535603715
2017-11-15;90.27863777089783
2017-11-16;96.96594427244582
2017-11-17;74.6749226006192
2017-11-20;103.6532507739938
2017-11-21;102.53869969040248
2017-11-22;94.73684210526315
2017-11-23;88.04953560371517
2017-11-24;70.21671826625386
2017-11-27;99.07120743034054
2017-11-28;87.71929824561403
2017-11-29;88.75128998968007
2017-11-30;88.75128998968007
2017-12-01;78.4313725490196
2017-12-04;95.97523219814241
2017-12-05;91.84726522187822
2017-12-06;84.62332301341588
2017-12-07;76.3673890608875
2017-12-08;79.46336429308565
2017-12-11;91.84726522187822
2017-12-12;97.00722394220846
2017-12-13;86.68730650154798
2017-12-14;86.68730650154798
2017-12-15;81.52734778121774
2017-12-18;92.87925696594426
2017-12-19;92.87925696594426
2017-12-20;87.71929824561403
2017-12-21;83.59133126934984
2017-12-22;66.04747162022703
2017-12-27;65.01547987616098
2017-12-28;71.20743034055727
2017-12-29;55.72755417956655
2018-01-02;83.59133126934984
2018-01-03;91.84726522187822
2018-01-04;76.3673890608875
2018-01-05;84.62332301341588
2018-01-08;88.75128998968007
2018-01-09;100.10319917440658
2018-01-10;98.0392156862745
2018-01-11;88.75128998968007
2018-01-12;77.39938080495355
2018-01-15;86.68730650154798
2018-01-16;100.10319917440658
2018-01-17;93.91124871001031
2018-01-18;97.00722394220846
2018-01-19;81.52734778121774
2018-01-22;94.94324045407636
2018-01-23;87.71929824561403
2018-01-24;85.65531475748193
2018-01-25;80.4953560371517
2018-01-26;76.3673890608875
2018-01-29;88.75128998968007
2018-01-30;97.00722394220846
2018-01-31;92.87925696594426
2018-02-01;91.84726522187822
2018-02-02;84.62332301341588
2018-02-05;90.81527347781217
2018-02-06;91.84726522187822
2018-02-07;93.91124871001031
2018-02-08;90.81527347781217
2018-02-09;79.46336429308565
2018-02-12;88.75128998968007
2018-02-13;82.55933952528379
2018-02-14;88.75128998968007
2018-02-15;86.68730650154798
2018-02-16;80.4953560371517
2018-02-19;77.39938080495355
2018-02-20;95.97523219814241
2018-02-21;85.65531475748193
2018-02-22;98.0392156862745
2018-02-23;103.19917440660473
2018-02-26;97.90747205937244
2018-02-27;107.59062863667302
2018-02-28;90.37612805480533
2018-03-01;79.61706519113802
2018-03-02;88.22431548207187
2018-03-05;80.69297147750476
2018-03-06;79.61706519113802
2018-03-07;88.22431548207187
2018-03-08;71.00981490020419
2018-03-09;77.46525261840458
2018-03-12;86.07250290933841
2018-03-13;72.08572118657092
2018-03-14;80.69297147750476
2018-03-15;88.22431548207187
2018-03-16;82.84478405023822
2018-03-19;91.45203434117207
2018-03-20;77.46525261840458
2018-03-21;91.45203434117207
2018-03-22;84.99659662297168
2018-03-23;67.782096041104
2018-03-26;76.38934633203785
2018-03-27;89.3002217684386
2018-03-28;73.16162747293765
2018-03-29;86.07250290933841
2018-04-03;78.5411589047713
2018-04-04;77.46525261840458
2018-04-05;86.07250290933841
2018-04-06;68.85800232747073
2018-04-09;80.69297147750476
2018-04-10;81.76887776387149
2018-04-11;92.5279406275388
2018-04-12;82.84478405023822
2018-04-13;73.16162747293765
2018-04-16;71.00981490020419
2018-04-17;83.92069033660495
2018-04-18;77.46525261840458
2018-04-19;95.75565948663898
2018-04-20;77.46525261840458
2018-04-23;87.14840919570514
2018-04-24;86.07250290933841
2018-04-25;75.31344004567111
2018-04-26;78.5411589047713
2018-04-27;77.46525261840458
2018-04-30;69.93390861383746
2018-05-02;88.22431548207187
2018-05-03;93.60384691390553
2018-05-04;62.40256460927035
2018-05-07;80.69297147750476
2018-05-08;81.76887776387149
2018-05-09;75.31344004567111
2018-05-10;68.85800232747073
2018-05-11;88.22431548207187
2018-05-14;78.5411589047713
2018-05-15;84.99659662297168
2018-05-16;81.76887776387149
2018-05-17;78.5411589047713
2018-05-18;74.23753375930438
2018-05-21;62.40256460927035
2018-05-22;71.00981490020419
2018-05-23;88.22431548207187
2018-05-24;86.07250290933841
2018-05-25;66.70618975473727
2018-05-28;61.238469283037496
2018-05-29;71.0803661320971
2018-05-30;89.67061573587632
2018-05-31;74.36099841511695
2018-06-01;65.61264566039732
2018-06-04;91.85770392455625
2018-06-05;77.64163069813682
2018-06-06;94.04479211323616
2018-06-07;94.04479211323616
2018-06-08;71.0803661320971
2018-06-11;87.48352754719642
2018-06-12;80.92226298115669
2018-06-13;104.98023305663571
2018-06-14;87.48352754719642
2018-06-15;79.82871888681673
2018-06-18;75.45454250945691
2018-06-19;109.35440943399553
2018-06-20;71.0803661320971
2018-06-21;64.51910156605736
2018-06-22;67.79973384907723
2018-06-25;96.23188030191606
2018-06-26;88.57707164153638
2018-06-27;73.267454320777
2018-06-28;85.29643935851651
2018-06-29;71.0803661320971
2018-07-02;66.70618975473727
2018-07-03;95.1383362075761
2018-07-04;80.92226298115669
2018-07-05;86.38998345285647
2018-07-06;75.45454250945691
2018-07-09;80.92226298115669
2018-07-10;83.1093511698366
2018-07-11;75.45454250945691
2018-07-12;82.01580707549664
2018-07-13;92.9512480188962
2018-07-16;75.45454250945691
2018-07-17;83.1093511698366
2018-07-18;87.48352754719642
2018-07-19;78.73517479247678
2018-07-20;73.267454320777
2018-07-23;78.73517479247678
2018-07-24;83.1093511698366
2018-07-25;88.57707164153638
2018-07-26;79.82871888681673
2018-07-27;72.17391022643704
2018-07-30;76.54808660379686
2018-07-31;89.67061573587632
2018-08-01;88.57707164153638
2018-08-02;101.69960077361584
2018-08-03;78.73517479247678
2018-08-06;92.9512480188962
2018-08-07;76.54808660379686
2018-08-08;74.36099841511695
2018-08-09;66.70618975473727
2018-08-10;54.677204716997764
2018-08-13;71.0803661320971
2018-08-14;69.98682203775714
2018-08-15;56.86429290567767
2018-08-16;64.51910156605736
2018-08-17;69.98682203775714
2018-08-20;79.82871888681673
2018-08-21;67.79973384907723
2018-08-22;86.38998345285647
2018-08-23;87.48352754719642
2018-08-24;78.43350745610712
2018-08-27;107.0919044112232
2018-08-28;113.12525113861605
2018-08-29;102.56689436567855
2018-08-30;114.63358782046427
2018-08-31;87.48352754719642
2018-09-03;101.05855768383034
2018-09-04;95.02521095643748
2018-09-05;108.6002410930714
2018-09-06;104.07523104752677
2018-09-07;92.00853759274105
2018-09-10;105.58356772937498
2018-09-11;107.0919044112232
2018-09-12;110.10857777491962
2018-09-13;102.56689436567855
2018-09-14;93.51687427458927
2018-09-17;102.56689436567855
2018-09-18;101.05855768383034
2018-09-19;105.58356772937498
2018-09-20;111.61691445676783
2018-09-21;90.50020091089284
2018-09-24;105.58356772937498
2018-09-25;111.61691445676783
2018-09-26;102.56689436567855
2018-09-27;113.12525113861605
2018-09-28;90.50020091089284
2018-10-01;99.55022100198212
2018-10-02;108.6002410930714
2018-10-03;107.0919044112232
2018-10-04;122.17527122970533
2018-10-05;108.6002410930714
2018-10-08;111.61691445676783
2018-10-09;107.0919044112232
2018-10-10;105.58356772937498
2018-10-11;110.10857777491962
2018-10-12;95.02521095643748
2018-10-15;101.05855768383034
2018-10-16;116.14192450231248
2018-10-17;125.19194459340176
2018-10-18;107.0919044112232
2018-10-19;104.07523104752677
2018-10-22;116.14192450231248
2018-10-23;114.63358782046427
2018-10-24;111.61691445676783
2018-10-25;119.1585978660089
2018-10-26;150.8336681848214
2018-10-29;125.19194459340176
2018-10-30;131.2252913207946
