Date;Societe Generale
2017-03-01;90.0
2017-03-02;88.0
2017-03-03;82.0
2017-03-06;91.0
2017-03-07;93.0
2017-03-08;86.0
2017-03-09;82.0
2017-03-10;81.0
2017-03-13;80.0
2017-03-14;84.0
2017-03-15;82.0
2017-03-16;77.0
2017-03-17;79.0
2017-03-20;80.0
2017-03-21;87.0
2017-03-22;86.0
2017-03-23;81.0
2017-03-24;78.0
2017-03-27;89.0
2017-03-28;100.0
2017-03-29;94.0
2017-03-30;86.0
2017-03-31;90.0
2017-04-03;90.0
2017-04-04;98.0
2017-04-05;92.0
2017-04-06;86.0
2017-04-07;79.0
2017-04-10;83.0
2017-04-11;90.0
2017-04-12;81.0
2017-04-13;81.0
2017-04-18;88.0
2017-04-19;80.0
2017-04-20;79.0
2017-04-21;77.0
2017-04-24;73.0
2017-04-25;81.0
2017-04-26;87.0
2017-04-27;82.0
2017-04-28;83.0
2017-05-02;100.0
2017-05-03;89.0
2017-05-04;90.0
2017-05-05;88.0
2017-05-08;46.0
2017-05-09;89.0
2017-05-10;80.0
2017-05-11;82.0
2017-05-12;83.0
2017-05-15;68.0
2017-05-16;85.0
2017-05-17;71.0
2017-05-18;68.0
2017-05-19;73.0
2017-05-22;71.0
2017-05-23;73.0
2017-05-24;79.0
2017-05-25;48.0
2017-05-26;78.0
2017-05-29;82.0
2017-05-30;94.0
2017-05-31;83.69863013698631
2017-06-01;88.84931506849315
2017-06-02;81.12328767123287
2017-06-05;48.93150684931507
2017-06-06;82.41095890410959
2017-06-07;74.68493150684932
2017-06-08;79.83561643835617
2017-06-09;79.83561643835617
2017-06-12;66.95890410958904
2017-06-13;82.41095890410959
2017-06-14;70.82191780821918
2017-06-15;68.24657534246576
2017-06-16;69.53424657534246
2017-06-19;60.52054794520548
2017-06-20;70.82191780821918
2017-06-21;66.95890410958904
2017-06-22;68.24657534246576
2017-06-23;66.95890410958904
2017-06-26;82.41095890410959
2017-06-27;90.13698630136986
2017-06-28;87.56164383561644
2017-06-29;81.12328767123287
2017-06-30;86.27397260273973
2017-07-03;88.84931506849315
2017-07-04;94.0
2017-07-05;84.98630136986301
2017-07-06;87.56164383561644
2017-07-07;81.12328767123287
2017-07-10;74.68493150684932
2017-07-11;82.41095890410959
2017-07-12;83.69863013698631
2017-07-13;74.68493150684932
2017-07-14;42.49315068493151
2017-07-17;79.83561643835617
2017-07-18;86.27397260273973
2017-07-19;83.69863013698631
2017-07-20;78.54794520547945
2017-07-21;78.54794520547945
2017-07-24;73.3972602739726
2017-07-25;86.27397260273973
2017-07-26;97.86301369863014
2017-07-27;101.72602739726028
2017-07-28;96.57534246575342
2017-07-31;90.13698630136986
2017-08-01;108.16438356164385
2017-08-02;92.7123287671233
2017-08-03;92.7123287671233
2017-08-04;96.57534246575342
2017-08-07;84.98630136986301
2017-08-08;90.13698630136986
2017-08-09;86.27397260273973
2017-08-10;88.84931506849315
2017-08-11;81.12328767123287
2017-08-14;63.09589041095891
2017-08-15;52.794520547945204
2017-08-16;90.13698630136986
2017-08-17;88.84931506849315
2017-08-18;75.97260273972603
2017-08-21;73.3972602739726
2017-08-22;128.76712328767124
2017-08-23;117.17808219178083
2017-08-24;78.54794520547945
2017-08-25;86.27397260273973
2017-08-28;90.13698630136986
2017-08-29;97.64840182648402
2017-08-30;95.50228310502283
2017-08-31;90.13698630136986
2017-09-01;93.35616438356165
2017-09-04;93.35616438356165
2017-09-05;105.15981735159818
2017-09-06;96.57534246575342
2017-09-07;91.21004566210046
2017-09-08;83.6986301369863
2017-09-11;85.84474885844749
2017-09-12;93.35616438356165
2017-09-13;90.13698630136986
