Date;Kering
2017-03-01;38.0
2017-03-02;40.0
2017-03-03;40.0
2017-03-06;42.0
2017-03-07;42.0
2017-03-08;43.0
2017-03-09;49.0
2017-03-10;46.0
2017-03-13;51.0
2017-03-14;45.0
2017-03-15;48.0
2017-03-16;40.0
2017-03-17;45.0
2017-03-20;46.0
2017-03-21;46.0
2017-03-22;46.0
2017-03-23;51.0
2017-03-24;44.0
2017-03-27;43.0
2017-03-28;44.0
2017-03-29;43.0
2017-03-30;47.0
2017-03-31;46.0
2017-04-03;44.0
2017-04-04;47.0
2017-04-05;45.0
2017-04-06;44.0
2017-04-07;47.0
2017-04-10;43.0
2017-04-11;47.0
2017-04-12;46.0
2017-04-13;48.0
2017-04-18;48.0
2017-04-19;47.0
2017-04-20;48.0
2017-04-21;48.0
2017-04-24;46.0
2017-04-25;45.0
2017-04-26;55.0
2017-04-27;48.0
2017-04-28;48.0
2017-05-02;51.0
2017-05-03;50.0
2017-05-04;52.0
2017-05-05;50.0
2017-05-08;56.0
2017-05-09;53.0
2017-05-10;55.0
2017-05-11;51.0
2017-05-12;59.0
2017-05-15;56.0
2017-05-16;59.0
2017-05-17;61.0
2017-05-18;59.0
2017-05-19;57.0
2017-05-22;61.0
2017-05-23;59.0
2017-05-24;59.0
2017-05-25;60.0
2017-05-26;67.0
2017-05-29;90.0
2017-05-30;80.0
2017-05-31;80.0
2017-06-01;88.0
2017-06-02;85.33333333333333
2017-06-05;84.0
2017-06-06;92.0
2017-06-07;93.33333333333333
2017-06-08;88.0
2017-06-09;105.33333333333333
2017-06-12;97.33333333333333
2017-06-13;102.66666666666666
2017-06-14;101.33333333333333
2017-06-15;110.66666666666666
2017-06-16;114.66666666666666
2017-06-19;121.33333333333333
2017-06-20;116.0
2017-06-21;112.0
2017-06-22;97.33333333333333
2017-06-23;76.0
2017-06-26;30.666666666666664
2017-06-27;33.33333333333333
2017-06-28;37.33333333333333
2017-06-29;37.33333333333333
2017-06-30;44.0
2017-07-03;45.33333333333333
2017-07-04;45.33333333333333
2017-07-05;46.666666666666664
2017-07-06;48.0
2017-07-07;46.666666666666664
2017-07-10;42.666666666666664
2017-07-11;48.0
2017-07-12;48.0
2017-07-13;45.33333333333333
2017-07-14;45.33333333333333
2017-07-17;46.666666666666664
2017-07-18;49.33333333333333
2017-07-19;48.0
2017-07-20;46.666666666666664
2017-07-21;45.33333333333333
2017-07-24;45.33333333333333
2017-07-25;46.666666666666664
2017-07-26;46.666666666666664
2017-07-27;48.0
2017-07-28;49.33333333333333
2017-07-31;49.33333333333333
2017-08-01;45.33333333333333
2017-08-02;45.33333333333333
2017-08-03;52.0
2017-08-04;46.666666666666664
2017-08-07;50.666666666666664
2017-08-08;46.666666666666664
2017-08-09;48.0
2017-08-10;45.33333333333333
2017-08-11;46.666666666666664
2017-08-14;45.33333333333333
2017-08-15;48.0
2017-08-16;42.666666666666664
2017-08-17;48.0
2017-08-18;53.33333333333333
2017-08-21;50.666666666666664
2017-08-22;49.33333333333333
2017-08-23;52.0
2017-08-24;50.666666666666664
2017-08-25;50.666666666666664
2017-08-28;58.666666666666664
2017-08-29;57.49333333333333
2017-08-30;54.56
2017-08-31;42.24
2017-09-01;39.306666666666665
2017-09-04;46.346666666666664
2017-09-05;48.693333333333335
2017-09-06;48.693333333333335
2017-09-07;46.93333333333334
2017-09-08;52.21333333333333
2017-09-11;44.0
2017-09-12;50.45333333333333
2017-09-13;45.17333333333333
2017-09-14;49.28
2017-09-15;46.346666666666664
2017-09-18;41.653333333333336
2017-09-19;47.52
2017-09-20;45.17333333333333
2017-09-21;53.973333333333336
2017-09-22;51.04
2017-09-25;52.21333333333333
2017-09-26;46.346666666666664
2017-09-27;43.413333333333334
2017-09-28;47.52
2017-09-29;42.82666666666667
2017-10-02;46.346666666666664
2017-10-03;44.0
2017-10-04;44.586666666666666
2017-10-05;41.06666666666667
2017-10-06;43.413333333333334
2017-10-09;45.76
2017-10-10;42.24
2017-10-11;45.17333333333333
2017-10-12;43.413333333333334
2017-10-13;42.82666666666667
2017-10-16;44.0
2017-10-17;43.413333333333334
2017-10-18;41.06666666666667
2017-10-19;43.413333333333334
2017-10-20;41.653333333333336
2017-10-23;43.413333333333334
2017-10-24;42.82666666666667
2017-10-25;50.45333333333333
2017-10-26;40.48
2017-10-27;41.06666666666667
2017-10-30;42.24
2017-10-31;45.17333333333333
2017-11-01;44.0
2017-11-02;45.17333333333333
2017-11-03;41.06666666666667
2017-11-06;44.586666666666666
2017-11-07;41.653333333333336
2017-11-08;45.17333333333333
2017-11-09;41.06666666666667
2017-11-10;38.13333333333333
2017-11-13;44.0
2017-11-14;46.346666666666664
2017-11-15;44.586666666666666
2017-11-16;41.06666666666667
2017-11-17;41.653333333333336
2017-11-20;41.653333333333336
2017-11-21;42.82666666666667
2017-11-22;43.413333333333334
2017-11-23;45.17333333333333
2017-11-24;41.06666666666667
2017-11-27;49.40350877192983
2017-11-28;53.52046783625731
2017-11-29;46.93333333333334
2017-11-30;43.63976608187135
2017-12-01;50.226900584795324
2017-12-04;51.05029239766082
2017-12-05;55.16725146198831
2017-12-06;54.34385964912281
2017-12-07;55.16725146198831
2017-12-08;54.34385964912281
2017-12-11;51.87368421052632
2017-12-12;54.34385964912281
2017-12-13;53.52046783625731
2017-12-14;56.814035087719304
2017-12-15;52.697076023391816
2017-12-18;55.9906432748538
2017-12-19;58.460818713450294
2017-12-20;56.814035087719304
2017-12-21;61.75438596491228
2017-12-22;56.814035087719304
2017-12-27;57.6374269005848
2017-12-28;63.40116959064328
2017-12-29;63.40116959064328
2018-01-02;51.05029239766082
2018-01-03;52.697076023391816
2018-01-04;49.40350877192983
2018-01-05;51.87368421052632
2018-01-08;46.93333333333334
2018-01-09;52.697076023391816
2018-01-10;45.28654970760234
2018-01-11;54.34385964912281
2018-01-12;53.52046783625731
2018-01-15;54.34385964912281
2018-01-16;46.93333333333334
2018-01-17;50.226900584795324
2018-01-18;54.34385964912281
2018-01-19;51.05029239766082
2018-01-22;48.58011695906433
2018-01-23;54.34385964912281
2018-01-24;46.93333333333334
2018-01-25;51.05029239766082
2018-01-26;51.87368421052632
2018-01-29;55.16725146198831
2018-01-30;55.16725146198831
2018-01-31;42.81637426900585
2018-02-01;48.58011695906433
2018-02-02;50.226900584795324
2018-02-05;51.05029239766082
2018-02-06;53.52046783625731
2018-02-07;51.05029239766082
2018-02-08;55.9906432748538
2018-02-09;52.697076023391816
2018-02-12;55.9906432748538
2018-02-13;59.28421052631579
2018-02-14;49.40350877192983
2018-02-15;47.75672514619883
2018-02-16;46.10994152046784
2018-02-19;51.05029239766082
2018-02-20;50.226900584795324
2018-02-21;51.05029239766082
2018-02-22;50.226900584795324
2018-02-23;52.697076023391816
2018-02-26;43.93618713450292
2018-02-27;42.98105263157895
2018-02-28;45.84645614035088
2018-03-01;43.93618713450292
2018-03-02;41.070783625730996
2018-03-05;44.8913216374269
2018-03-06;42.02591812865497
2018-03-07;50.62212865497076
2018-03-08;50.62212865497076
2018-03-09;47.75672514619883
2018-03-12;47.75672514619883
2018-03-13;48.71185964912281
2018-03-14;48.71185964912281
2018-03-15;48.71185964912281
2018-03-16;47.75672514619883
2018-03-19;49.66699415204678
2018-03-20;52.53239766081872
2018-03-21;47.75672514619883
2018-03-22;50.62212865497076
