Date;Legrand SA
2017-03-01;60.0
2017-03-02;54.0
2017-03-03;53.0
2017-03-06;60.0
2017-03-07;47.0
2017-03-08;55.0
2017-03-09;60.0
2017-03-10;54.0
2017-03-13;61.0
2017-03-14;69.0
2017-03-15;54.0
2017-03-16;49.0
2017-03-17;47.0
2017-03-20;80.0
2017-03-21;79.0
2017-03-22;71.0
2017-03-23;64.0
2017-03-24;64.0
2017-03-27;58.0
2017-03-28;59.0
2017-03-29;53.0
2017-03-30;49.0
2017-03-31;52.0
2017-04-03;83.0
2017-04-04;59.0
2017-04-05;55.0
2017-04-06;55.0
2017-04-07;50.0
2017-04-10;65.0
2017-04-11;50.0
2017-04-12;49.0
2017-04-13;51.0
2017-04-18;50.0
2017-04-19;49.0
2017-04-20;51.0
2017-04-21;44.0
2017-04-24;54.0
2017-04-25;52.0
2017-04-26;52.0
2017-04-27;53.0
2017-04-28;47.0
2017-05-02;54.0
2017-05-03;53.0
2017-05-04;56.0
2017-05-05;51.0
2017-05-08;49.0
2017-05-09;47.0
2017-05-10;56.0
2017-05-11;57.0
2017-05-12;52.0
2017-05-15;52.0
2017-05-16;53.0
2017-05-17;55.0
2017-05-18;51.0
2017-05-19;52.0
2017-05-22;55.0
2017-05-23;55.0
2017-05-24;50.0
2017-05-25;43.0
2017-05-26;42.0
2017-05-29;61.0
2017-05-30;52.0
2017-05-31;49.87755102040817
2017-06-01;48.81632653061225
2017-06-02;49.87755102040817
2017-06-05;47.75510204081633
2017-06-06;55.183673469387756
2017-06-07;58.36734693877551
2017-06-08;52.0
2017-06-09;46.693877551020414
2017-06-12;47.75510204081633
2017-06-13;46.693877551020414
2017-06-14;53.06122448979592
2017-06-15;50.93877551020408
2017-06-16;45.632653061224495
2017-06-19;106.12244897959184
2017-06-20;57.30612244897959
2017-06-21;48.81632653061225
2017-06-22;53.06122448979592
2017-06-23;47.75510204081633
2017-06-26;55.183673469387756
2017-06-27;53.06122448979592
2017-06-28;56.244897959183675
2017-06-29;49.87755102040817
2017-06-30;45.632653061224495
2017-07-03;53.06122448979592
2017-07-04;58.36734693877551
2017-07-05;54.12244897959184
2017-07-06;48.81632653061225
2017-07-07;45.632653061224495
2017-07-10;76.40816326530613
2017-07-11;58.36734693877551
2017-07-12;56.244897959183675
2017-07-13;53.06122448979592
2017-07-14;44.57142857142858
2017-07-17;57.30612244897959
2017-07-18;60.48979591836735
2017-07-19;57.30612244897959
2017-07-20;49.87755102040817
2017-07-21;54.12244897959184
2017-07-24;64.73469387755102
2017-07-25;58.36734693877551
2017-07-26;59.42857142857143
2017-07-27;50.93877551020408
2017-07-28;47.75510204081633
2017-07-31;64.73469387755102
2017-08-01;55.183673469387756
2017-08-02;49.87755102040817
2017-08-03;49.87755102040817
2017-08-04;46.693877551020414
2017-08-07;56.244897959183675
2017-08-08;53.06122448979592
2017-08-09;47.75510204081633
2017-08-10;52.0
2017-08-11;45.632653061224495
2017-08-14;44.57142857142858
2017-08-15;42.44897959183674
2017-08-16;43.51020408163266
