Date;Publicis Groupe
2017-03-01;59.0
2017-03-02;63.0
2017-03-03;58.0
2017-03-06;50.0
2017-03-07;69.0
2017-03-08;71.0
2017-03-09;66.0
2017-03-10;51.0
2017-03-13;84.0
2017-03-14;65.0
2017-03-15;73.0
2017-03-16;72.0
2017-03-17;61.0
2017-03-20;65.0
2017-03-21;63.0
2017-03-22;68.0
2017-03-23;59.0
2017-03-24;59.0
2017-03-27;62.0
2017-03-28;100.0
2017-03-29;72.0
2017-03-30;59.0
2017-03-31;46.0
2017-04-03;59.0
2017-04-04;71.0
2017-04-05;61.0
2017-04-06;65.0
2017-04-07;48.0
2017-04-10;51.0
2017-04-11;56.0
2017-04-12;52.0
2017-04-13;51.0
2017-04-18;54.0
2017-04-19;68.0
2017-04-20;82.0
2017-04-21;53.0
2017-04-24;50.0
2017-04-25;74.0
2017-04-26;60.0
2017-04-27;71.0
2017-04-28;47.0
2017-05-02;77.0
2017-05-03;94.0
2017-05-04;50.0
2017-05-05;50.0
2017-05-08;45.0
2017-05-09;61.0
2017-05-10;71.0
2017-05-11;55.0
2017-05-12;49.0
2017-05-15;53.0
2017-05-16;76.0
2017-05-17;72.0
2017-05-18;87.0
2017-05-19;67.0
2017-05-22;71.0
2017-05-23;59.0
2017-05-24;63.0
2017-05-25;50.0
2017-05-26;34.0
2017-05-29;58.0
2017-05-30;65.0
2017-05-31;71.37254901960785
2017-06-01;77.74509803921568
2017-06-02;56.07843137254902
2017-06-05;62.45098039215686
2017-06-06;66.27450980392156
2017-06-07;63.725490196078425
2017-06-08;57.35294117647059
2017-06-09;63.725490196078425
2017-06-12;79.01960784313725
2017-06-13;72.6470588235294
2017-06-14;82.84313725490196
2017-06-15;96.86274509803921
2017-06-16;53.52941176470588
2017-06-19;67.54901960784314
2017-06-20;72.6470588235294
2017-06-21;127.45098039215685
2017-06-22;79.01960784313725
2017-06-23;67.54901960784314
2017-06-26;94.31372549019608
2017-06-27;76.47058823529412
2017-06-28;79.01960784313725
2017-06-29;67.54901960784314
2017-06-30;47.15686274509804
2017-07-03;62.45098039215686
2017-07-04;49.705882352941174
2017-07-05;58.627450980392155
2017-07-06;65.0
2017-07-07;57.35294117647059
2017-07-10;80.29411764705881
2017-07-11;72.6470588235294
2017-07-12;61.17647058823529
2017-07-13;49.705882352941174
2017-07-14;48.431372549019606
2017-07-17;59.90196078431372
2017-07-18;58.627450980392155
2017-07-19;75.19607843137254
2017-07-20;66.27450980392156
2017-07-21;61.17647058823529
2017-07-24;48.431372549019606
2017-07-25;59.90196078431372
2017-07-26;58.627450980392155
2017-07-27;58.627450980392155
2017-07-28;58.627450980392155
2017-07-31;49.705882352941174
2017-08-01;48.431372549019606
2017-08-02;52.25490196078431
2017-08-03;65.0
2017-08-04;54.803921568627445
2017-08-07;47.15686274509804
2017-08-08;49.705882352941174
2017-08-09;54.803921568627445
2017-08-10;34.41176470588235
2017-08-11;35.68627450980392
2017-08-14;47.15686274509804
2017-08-15;31.862745098039213
2017-08-16;45.882352941176464
2017-08-17;49.705882352941174
2017-08-18;48.431372549019606
2017-08-21;57.35294117647059
2017-08-22;58.627450980392155
2017-08-23;70.09803921568627
2017-08-24;63.725490196078425
2017-08-25;50.98039215686274
2017-08-28;53.52941176470588
2017-08-29;107.05882352941175
2017-08-30;75.6393861892583
2017-08-31;79.13043478260869
2017-09-01;43.05626598465473
2017-09-04;69.82097186700767
2017-09-05;86.11253196930946
2017-09-06;59.347826086956516
2017-09-07;76.80306905370844
2017-09-08;73.31202046035806
2017-09-11;87.27621483375958
2017-09-12;65.16624040920716
2017-09-13;72.14833759590792
2017-09-14;89.60358056265984
2017-09-15;68.65728900255755
2017-09-18;76.80306905370844
2017-09-19;87.27621483375958
2017-09-20;76.80306905370844
2017-09-21;91.93094629156009
2017-09-22;61.67519181585677
2017-09-25;70.9846547314578
2017-09-26;96.58567774936061
2017-09-27;80.29411764705881
2017-09-28;82.62148337595907
2017-09-29;67.49360613810741
2017-10-02;72.14833759590792
2017-10-03;75.6393861892583
2017-10-04;86.11253196930946
2017-10-05;84.94884910485933
2017-10-06;66.32992327365729
2017-10-09;97.74936061381074
2017-10-10;82.62148337595907
2017-10-11;94.25831202046035
2017-10-12;100.076726342711
2017-10-13;70.9846547314578
2017-10-16;91.93094629156009
2017-10-17;83.7851662404092
2017-10-18;68.65728900255755
2017-10-19;116.36828644501279
2017-10-20;88.43989769820972
2017-10-23;80.29411764705881
2017-10-24;98.91304347826086
2017-10-25;98.91304347826086
2017-10-26;87.27621483375958
2017-10-27;65.16624040920716
2017-10-30;79.13043478260869
2017-10-31;105.89514066496163
2017-11-01;58.18414322250639
2017-11-02;75.6393861892583
2017-11-03;66.32992327365729
2017-11-06;81.45780051150895
2017-11-07;95.42199488491048
2017-11-08;83.7851662404092
2017-11-09;88.43989769820972
2017-11-10;90.76726342710997
2017-11-13;66.32992327365729
2017-11-14;90.76726342710997
2017-11-15;62.8388746803069
2017-11-16;84.94884910485933
2017-11-17;75.6393861892583
2017-11-20;67.49360613810741
2017-11-21;75.6393861892583
2017-11-22;73.31202046035806
2017-11-23;41.8925831202046
2017-11-24;66.32992327365729
2017-11-27;120.69053708439897
2017-11-28;102.40409207161125
2017-11-29;117.03324808184142
2017-11-30;124.34782608695652
2017-12-01;100.57544757033247
2017-12-04;93.26086956521738
2017-12-05;135.31969309462914
2017-12-06;118.8618925831202
2017-12-07;107.89002557544757
2017-12-08;82.28900255754475
2017-12-11;113.37595907928387
2017-12-12;85.9462915601023
2017-12-13;109.71867007672633
2017-12-14;62.17391304347826
2017-12-15;98.7468030690537
2017-12-18;107.89002557544757
2017-12-19;100.57544757033247
2017-12-20;91.43222506393862
2017-12-21;111.5473145780051
2017-12-22;64.00255754475702
2017-12-27;56.68797953964194
2017-12-28;43.887468030690535
2017-12-29;64.00255754475702
2018-01-02;78.6317135549872
2018-01-03;124.34782608695652
2018-01-04;102.40409207161125
2018-01-05;117.03324808184142
2018-01-08;100.57544757033247
2018-01-09;149.94884910485933
2018-01-10;137.14833759590792
2018-01-11;122.51918158567774
2018-01-12;96.91815856777492
2018-01-15;109.71867007672633
2018-01-16;133.49104859335037
2018-01-17;115.20460358056265
2018-01-18;124.34782608695652
2018-01-19;96.91815856777492
2018-01-22;153.60613810741685
2018-01-23;146.2915601023018
2018-01-24;137.14833759590792
2018-01-25;128.00511508951405
2018-01-26;115.20460358056265
2018-01-29;115.20460358056265
2018-01-30;137.14833759590792
2018-01-31;137.14833759590792
2018-02-01;117.03324808184142
2018-02-02;107.89002557544757
2018-02-05;126.17647058823528
2018-02-06;98.7468030690537
2018-02-07;115.20460358056265
2018-02-08;182.86445012787723
2018-02-09;113.37595907928387
2018-02-12;118.8618925831202
2018-02-13;179.2071611253197
2018-02-14;175.54987212276214
2018-02-15;129.83375959079282
2018-02-16;93.26086956521738
2018-02-19;133.49104859335037
2018-02-20;126.17647058823528
2018-02-21;120.69053708439897
2018-02-22;124.34782608695652
2018-02-23;104.23273657289002
2018-02-26;152.38704177323103
2018-02-27;142.22790565501563
2018-02-28;150.35521454958794
2018-03-01;156.4506962205172
2018-03-02;140.19607843137254
2018-03-05;154.4188689968741
2018-03-06;148.32338732594485
2018-03-07;154.4188689968741
2018-03-08;111.75049730036942
2018-03-09;119.87780619494174
2018-03-12;160.51435066780334
2018-03-13;130.03694231315714
2018-03-14;166.6098323387326
2018-03-15;158.48252344416028
2018-03-16;115.81415174765557
2018-03-19;128.00511508951405
2018-03-20;162.54617789144643
2018-03-21;148.32338732594485
2018-03-22;162.54617789144643
2018-03-23;136.1324239840864
2018-03-26;128.00511508951405
2018-03-27;195.0554134697357
2018-03-28;136.1324239840864
2018-03-29;172.70531400966183
2018-04-03;128.00511508951405
2018-04-04;121.90963341858482
2018-04-05;158.48252344416028
2018-04-06;130.03694231315714
2018-04-09;130.03694231315714
