Date;Hermes
2017-03-01;74.0
2017-03-02;73.0
2017-03-03;72.0
2017-03-06;71.0
2017-03-07;70.0
2017-03-08;73.0
2017-03-09;72.0
2017-03-10;71.0
2017-03-13;68.0
2017-03-14;75.0
2017-03-15;76.0
2017-03-16;73.0
2017-03-17;75.0
2017-03-20;79.0
2017-03-21;76.0
2017-03-22;77.0
2017-03-23;76.0
2017-03-24;72.0
2017-03-27;69.0
2017-03-28;75.0
2017-03-29;72.0
2017-03-30;71.0
2017-03-31;67.0
2017-04-03;73.0
2017-04-04;76.0
2017-04-05;77.0
2017-04-06;75.0
2017-04-07;71.0
2017-04-10;80.0
2017-04-11;78.0
2017-04-12;81.0
2017-04-13;77.0
2017-04-18;75.0
2017-04-19;100.0
2017-04-20;83.0
2017-04-21;77.0
2017-04-24;72.0
2017-04-25;75.0
2017-04-26;76.0
2017-04-27;77.0
2017-04-28;74.0
2017-05-02;78.0
2017-05-03;78.0
2017-05-04;80.0
2017-05-05;79.0
2017-05-08;79.0
2017-05-09;77.0
2017-05-10;78.0
2017-05-11;75.0
2017-05-12;75.0
2017-05-15;74.0
2017-05-16;74.0
2017-05-17;77.0
2017-05-18;70.0
2017-05-19;71.0
2017-05-22;80.0
2017-05-23;85.0
2017-05-24;74.0
2017-05-25;57.0
2017-05-26;72.0
2017-05-29;70.0
2017-05-30;76.0
2017-05-31;76.0
2017-06-01;74.31111111111112
2017-06-02;69.24444444444444
2017-06-05;56.577777777777776
2017-06-06;71.77777777777777
2017-06-07;78.53333333333333
2017-06-08;79.37777777777778
2017-06-09;75.15555555555555
2017-06-12;73.46666666666667
2017-06-13;79.37777777777778
2017-06-14;74.31111111111112
2017-06-15;59.955555555555556
2017-06-16;74.31111111111112
2017-06-19;73.46666666666667
2017-06-20;74.31111111111112
2017-06-21;79.37777777777778
2017-06-22;73.46666666666667
2017-06-23;76.84444444444445
2017-06-26;76.0
2017-06-27;75.15555555555555
2017-06-28;78.53333333333333
2017-06-29;76.84444444444445
2017-06-30;78.53333333333333
2017-07-03;76.0
2017-07-04;81.91111111111111
2017-07-05;80.22222222222223
2017-07-06;76.0
2017-07-07;73.46666666666667
2017-07-10;75.15555555555555
2017-07-11;72.62222222222222
2017-07-12;80.22222222222223
2017-07-13;82.75555555555556
2017-07-14;72.62222222222222
2017-07-17;75.15555555555555
2017-07-18;73.46666666666667
2017-07-19;76.0
2017-07-20;78.53333333333333
2017-07-21;70.93333333333334
2017-07-24;75.15555555555555
2017-07-25;75.15555555555555
2017-07-26;76.84444444444445
2017-07-27;72.62222222222222
2017-07-28;76.84444444444445
2017-07-31;76.0
2017-08-01;80.22222222222223
2017-08-02;81.06666666666666
2017-08-03;80.22222222222223
2017-08-04;76.0
2017-08-07;75.15555555555555
2017-08-08;78.53333333333333
2017-08-09;82.75555555555556
2017-08-10;80.22222222222223
2017-08-11;78.53333333333333
2017-08-14;76.0
2017-08-15;68.4
2017-08-16;76.84444444444445
2017-08-17;80.22222222222223
2017-08-18;75.15555555555555
2017-08-21;75.15555555555555
2017-08-22;80.22222222222223
2017-08-23;84.44444444444444
2017-08-24;77.68888888888888
2017-08-25;76.0
2017-08-28;70.08888888888889
2017-08-29;81.77037037037037
2017-08-30;83.71728395061729
2017-08-31;80.79691358024691
2017-09-01;79.82345679012346
2017-09-04;81.77037037037037
2017-09-05;82.74382716049382
2017-09-06;82.74382716049382
2017-09-07;83.71728395061729
2017-09-08;78.85
2017-09-11;79.82345679012346
2017-09-12;82.74382716049382
2017-09-13;86.63765432098765
2017-09-14;83.71728395061729
2017-09-15;87.61111111111111
2017-09-18;82.74382716049382
2017-09-19;84.69074074074074
2017-09-20;83.71728395061729
2017-09-21;84.69074074074074
2017-09-22;89.55802469135803
2017-09-25;80.79691358024691
2017-09-26;82.74382716049382
2017-09-27;85.6641975308642
2017-09-28;85.6641975308642
2017-09-29;84.69074074074074
2017-10-02;81.77037037037037
2017-10-03;67.16851851851851
2017-10-04;89.55802469135803
2017-10-05;93.45185185185184
2017-10-06;90.53148148148148
