Date;Stmicroelectronics
2017-03-01;55.0
2017-03-02;56.0
2017-03-03;46.0
2017-03-06;35.0
2017-03-07;55.0
2017-03-08;47.0
2017-03-09;100.0
2017-03-10;64.0
2017-03-13;57.0
2017-03-14;71.0
2017-03-15;55.0
2017-03-16;62.0
2017-03-17;61.0
2017-03-20;49.0
2017-03-21;65.0
2017-03-22;55.0
2017-03-23;46.0
2017-03-24;51.0
2017-03-27;49.0
2017-03-28;56.0
2017-03-29;48.0
2017-03-30;63.0
2017-03-31;30.0
2017-04-03;43.0
2017-04-04;47.0
2017-04-05;53.0
2017-04-06;52.0
2017-04-07;43.0
2017-04-10;58.0
2017-04-11;40.0
2017-04-12;47.0
2017-04-13;40.0
2017-04-18;45.0
2017-04-19;49.0
2017-04-20;37.0
2017-04-21;48.0
2017-04-24;53.0
2017-04-25;49.0
2017-04-26;38.0
2017-04-27;64.0
2017-04-28;84.0
2017-05-02;51.0
2017-05-03;51.0
2017-05-04;33.0
2017-05-05;39.0
2017-05-08;43.0
2017-05-09;49.0
2017-05-10;54.0
2017-05-11;46.0
2017-05-12;54.0
2017-05-15;54.0
2017-05-16;51.0
2017-05-17;42.0
2017-05-18;66.0
2017-05-19;44.0
2017-05-22;56.0
2017-05-23;39.0
2017-05-24;40.0
2017-05-25;47.0
2017-05-26;35.0
2017-05-29;53.0
2017-05-30;39.0
2017-05-31;57.28125
2017-06-01;53.625
2017-06-02;76.78125
2017-06-05;67.03125
2017-06-06;69.46875
2017-06-07;78.0
2017-06-08;103.59375
2017-06-09;54.84375
2017-06-12;109.6875
2017-06-13;121.875
2017-06-14;98.71875
2017-06-15;115.78125
2017-06-16;56.0625
2017-06-19;52.40625
2017-06-20;43.875
2017-06-21;88.96875
2017-06-22;82.875
2017-06-23;73.125
2017-06-26;53.625
2017-06-27;60.9375
2017-06-28;81.65625
2017-06-29;26.8125
2017-06-30;82.875
2017-07-03;47.53125
2017-07-04;90.1875
2017-07-05;41.4375
2017-07-06;54.84375
2017-07-07;48.75
2017-07-10;101.15625
2017-07-11;99.9375
2017-07-12;59.71875
2017-07-13;53.625
2017-07-14;84.09375
2017-07-17;87.75
2017-07-18;81.65625
2017-07-19;34.125
2017-07-20;73.125
2017-07-21;91.40625
2017-07-24;97.5
2017-07-25;85.3125
2017-07-26;53.625
2017-07-27;86.53125
2017-07-28;62.15625
2017-07-31;106.03125
2017-08-01;69.46875
2017-08-02;106.03125
2017-08-03;76.78125
2017-08-04;74.34375
2017-08-07;43.875
2017-08-08;86.53125
2017-08-09;64.59375
2017-08-10;85.3125
2017-08-11;40.21875
2017-08-14;40.21875
2017-08-15;40.21875
2017-08-16;39.0
2017-08-17;110.90625
2017-08-18;53.625
2017-08-21;64.59375
2017-08-22;82.875
2017-08-23;39.0
2017-08-24;96.28125
2017-08-25;26.8125
2017-08-28;85.3125
2017-08-29;115.28716216216218
2017-08-30;106.0641891891892
2017-08-31;117.59290540540542
2017-09-01;103.75844594594595
2017-09-04;106.0641891891892
2017-09-05;80.70101351351352
2017-09-06;103.75844594594595
2017-09-07;154.48479729729732
2017-09-08;161.40202702702703
2017-09-11;112.98141891891893
2017-09-12;152.17905405405406
2017-09-13;161.40202702702703
2017-09-14;154.48479729729732
2017-09-15;147.56756756756758
2017-09-18;103.75844594594595
2017-09-19;89.9239864864865
2017-09-20;177.54222972972974
2017-09-21;110.67567567567568
2017-09-22;119.89864864864866
2017-09-25;112.98141891891893
2017-09-26;136.03885135135135
2017-09-27;136.03885135135135
2017-09-28;170.625
2017-09-29;76.08952702702703
2017-10-02;71.47804054054055
2017-10-03;149.87331081081084
2017-10-04;149.87331081081084
2017-10-05;92.22972972972974
2017-10-06;136.03885135135135
2017-10-09;99.14695945945947
2017-10-10;152.17905405405406
2017-10-11;108.36993243243244
2017-10-12;115.28716216216218
2017-10-13;136.03885135135135
2017-10-16;124.51013513513514
2017-10-17;103.75844594594595
2017-10-18;108.36993243243244
2017-10-19;138.3445945945946
2017-10-20;71.47804054054055
2017-10-23;129.12162162162164
2017-10-24;124.51013513513514
2017-10-25;99.14695945945947
2017-10-26;230.57432432432435
2017-10-27;166.01351351351352
2017-10-30;138.3445945945946
2017-10-31;92.22972972972974
2017-11-01;106.0641891891892
2017-11-02;122.2043918918919
2017-11-03;115.28716216216218
2017-11-06;166.01351351351352
2017-11-07;209.82263513513516
2017-11-08;198.29391891891893
2017-11-09;154.48479729729732
2017-11-10;110.67567567567568
2017-11-13;103.75844594594595
2017-11-14;83.00675675675676
2017-11-15;115.28716216216218
2017-11-16;126.81587837837839
2017-11-17;154.48479729729732
2017-11-20;108.36993243243244
2017-11-21;92.22972972972974
2017-11-22;83.00675675675676
2017-11-23;103.75844594594595
2017-11-24;101.45270270270271
2017-11-27;148.98648648648648
2017-11-28;167.6097972972973
2017-11-29;253.27702702702703
2017-11-30;301.69763513513516
2017-12-01;171.33445945945945
2017-12-04;163.88513513513513
2017-12-05;137.8125
2017-12-06;208.5810810810811
2017-12-07;189.9577702702703
2017-12-08;175.0591216216216
2017-12-11;171.33445945945945
2017-12-12;178.7837837837838
2017-12-13;201.13175675675677
2017-12-14;189.9577702702703
2017-12-15;253.27702702702703
2017-12-18;189.9577702702703
2017-12-19;249.55236486486487
2017-12-20;189.9577702702703
2017-12-21;178.7837837837838
2017-12-22;156.4358108108108
2017-12-27;186.23310810810813
2017-12-28;141.53716216216216
2017-12-29;100.56587837837839
2018-01-02;223.47972972972974
2018-01-03;175.0591216216216
2018-01-04;145.26182432432432
2018-01-05;201.13175675675677
2018-01-08;230.92905405405406
2018-01-09;242.10304054054055
2018-01-10;264.45101351351354
2018-01-11;245.8277027027027
2018-01-12;227.2043918918919
2018-01-15;182.50844594594597
2018-01-16;219.75506756756758
2018-01-17;186.23310810810813
